,open time,close,Success/Fail,Earning Rate (%)
Start,2020-10-27 17:00:00,15070000.0
End,2020-10-31 05:00:00,15340000.0,Failed,1.7399999999999998
Start,2020-10-31 05:00:00,15340000.0
End,2020-11-04 05:00:00,15881000.0,Failed,3.4799999999999995
Start,2020-11-04 05:00:00,15881000.0
End,2020-11-09 21:00:00,16850000.0,Failed,6.05
Start,2020-11-09 21:00:00,16850000.0
End,2020-11-12 01:00:00,17474000.0,Failed,3.65
Start,2020-11-12 01:00:00,17474000.0
End,2020-11-16 17:00:00,17901000.0,Failed,2.39
Start,2020-11-16 17:00:00,17901000.0
End,2020-11-29 09:00:00,19702000.0,Failed,10.01
Start,2020-11-29 09:00:00,19702000.0
End,2020-12-07 05:00:00,20976000.0,Failed,6.419999999999999
Start,2020-12-07 05:00:00,20976000.0
End,2020-12-11 17:00:00,19530000.0,Failed,-6.94
Start,2020-12-11 17:00:00,19530000.0
End,2020-12-12 21:00:00,20090000.0,Failed,2.82
Start,2020-12-12 21:00:00,20090000.0
End,2020-12-23 05:00:00,26776000.0,Failed,33.23
Start,2020-12-23 05:00:00,26776000.0
End,2020-12-25 17:00:00,27165000.0,Failed,1.4000000000000001
Start,2020-12-25 17:00:00,27165000.0
End,2020-12-30 09:00:00,31430000.0,Failed,15.65
Start,2020-12-30 09:00:00,31430000.0
End,2021-01-06 09:00:00,38370000.0,Failed,22.03
Start,2021-01-06 09:00:00,38370000.0
End,2021-01-13 21:00:00,38471000.0,Failed,0.21
Start,2021-01-13 21:00:00,38471000.0
End,2021-01-19 13:00:00,40433000.0,Failed,5.05
Start,2021-01-19 13:00:00,40433000.0
End,2021-01-24 05:00:00,35493000.0,Failed,-12.27
Start,2021-01-24 05:00:00,35493000.0
End,2021-01-25 17:00:00,36475000.0,Failed,2.7199999999999998
Start,2021-01-25 17:00:00,36475000.0
End,2021-01-29 05:00:00,36624000.0,Failed,0.36000000000000004
Start,2021-01-29 05:00:00,36624000.0
End,2021-02-01 21:00:00,36411000.0,Failed,-0.63
Start,2021-02-01 21:00:00,36411000.0
End,2021-02-11 21:00:00,51348000.0,Failed,40.97
Start,2021-02-11 21:00:00,51348000.0
End,2021-02-25 21:00:00,57699000.0,Failed,12.32
Start,2021-02-25 21:00:00,57699000.0
End,2021-03-01 21:00:00,55380000.0,Failed,-4.07
Start,2021-03-01 21:00:00,55380000.0
End,2021-03-07 13:00:00,57298000.0,Failed,3.4099999999999997
Start,2021-03-07 13:00:00,57298000.0
End,2021-03-18 01:00:00,67119000.0,Failed,17.09
Start,2021-03-18 01:00:00,67119000.0
End,2021-03-21 13:00:00,67031000.0,Failed,-0.18
Start,2021-03-21 13:00:00,67031000.0
End,2021-03-25 05:00:00,64777000.0,Failed,-3.4099999999999997
Start,2021-03-25 05:00:00,64777000.0
End,2021-03-27 17:00:00,65544000.0,Failed,1.13
Start,2021-03-27 17:00:00,65544000.0
End,2021-04-05 13:00:00,75014000.0,Failed,14.399999999999999
Start,2021-04-05 13:00:00,75014000.0
End,2021-04-10 05:00:00,76066000.0,Failed,1.35
Start,2021-04-10 05:00:00,76066000.0
End,2021-04-13 17:00:00,81200000.0,Failed,6.7
Start,2021-04-13 17:00:00,81200000.0
End,2021-04-25 17:00:00,60869000.0,Failed,-25.09
Start,2021-04-25 17:00:00,60869000.0
End,2021-04-30 21:00:00,67700000.0,Failed,11.17
Start,2021-04-30 21:00:00,67700000.0
End,2021-05-06 17:00:00,70127000.0,Failed,3.53
Start,2021-05-06 17:00:00,70127000.0
End,2021-05-08 17:00:00,70278000.0,Failed,0.17
Start,2021-05-08 17:00:00,70278000.0
End,2021-05-21 21:00:00,47712000.0,Failed,-32.16
Start,2021-05-21 21:00:00,47712000.0
End,2021-05-25 09:00:00,46645000.0,Failed,-2.29
Start,2021-05-25 09:00:00,46645000.0
End,2021-05-27 21:00:00,47433000.0,Failed,1.6399999999999997
Start,2021-05-27 21:00:00,47433000.0
End,2021-06-01 01:00:00,43480000.0,Failed,-8.38
Start,2021-06-01 01:00:00,43480000.0
End,2021-06-03 13:00:00,44878000.0,Failed,3.17
Start,2021-06-03 13:00:00,44878000.0
End,2021-06-09 21:00:00,41828000.0,Failed,-6.8500000000000005
Start,2021-06-09 21:00:00,41828000.0
End,2021-06-14 05:00:00,44746000.0,Failed,6.93
Start,2021-06-14 05:00:00,44746000.0
End,2021-06-24 01:00:00,38513000.0,Failed,-13.98
Start,2021-06-24 01:00:00,38513000.0
End,2021-06-28 05:00:00,39985000.0,Failed,3.7699999999999996
Start,2021-06-28 05:00:00,39985000.0
End,2021-07-03 21:00:00,40210000.0,Failed,0.51
Start,2021-07-03 21:00:00,40210000.0
End,2021-07-07 21:00:00,40278000.0,Failed,0.12
Start,2021-07-07 21:00:00,40278000.0
End,2021-07-10 17:00:00,39925000.0,Failed,-0.93
Start,2021-07-10 17:00:00,39925000.0
End,2021-07-18 09:00:00,37793000.0,Failed,-5.390000000000001
Start,2021-07-18 09:00:00,37793000.0
End,2021-07-22 01:00:00,37300000.0,Failed,-1.35
Start,2021-07-22 01:00:00,37300000.0
End,2021-07-31 05:00:00,48555000.0,Failed,30.12
Start,2021-07-31 05:00:00,48555000.0
End,2021-08-06 01:00:00,46994000.0,Failed,-3.26
Start,2021-08-06 01:00:00,46994000.0
End,2021-08-13 13:00:00,53433000.0,Failed,13.65
Start,2021-08-13 13:00:00,53433000.0
End,2021-08-16 21:00:00,53987000.0,Failed,0.9899999999999999
Start,2021-08-16 21:00:00,53987000.0
End,2021-08-20 01:00:00,54663000.0,Failed,1.2
Start,2021-08-20 01:00:00,54663000.0
End,2021-08-28 05:00:00,57401000.0,Failed,4.96
First Seed Money,Last Seed Money,Total Earning Rate(%),Winning Rate(%)
1,11.054845419281532,345.18000000000006,57.14285714285714
